zz,Count
14830,47
29072,47
19438,47
2346,47
7024,47
98310,47
94158,47
85382,47
33702,47
7726,47
52241,47
78109,47
55902,47
32801,47
50023,47
85258,47
97355,47
99999,47
11758,47
46304,47
22309,47
19428,47
14223,47
33611,47
14617,47
70806,47
3051,47
35401,47
93933,47
64110,47
11357,47
77339,47
35811,47
34655,47
6082,47
55433,47
2760,47
46804,47
1867,47
92865,47
11590,47
95765,47
32810,47
84070,47
19139,47
24015,47
60525,47
46360,47
19713,47
1852,47
44212,47
13126,47
80922,47
43204,47
22181,47
27265,47
11772,47
85213,47
63026,46
7747,46
92805,46
90212,46
44221,46
19341,46
77802,46
79424,46
55420,46
4005,46
33324,46
99516,46
75061,46
97103,46
17404,46
32714,46
95460,46
92154,46
80005,46
89107,46
64151,46
98391,46
97601,46
61614,46
48101,46
1824,46
8055,46
97132,46
91436,46
10605,46
66604,46
92106,46
44113,46
8550,46
21921,46
96818,46
83440,46
40217,46
98404,46
33578,46
30909,46
95446,46
20816,46
48085,46
7083,46
28787,46
7006,46
53818,46
96789,46
78640,46
2780,46
80221,46
80915,46
52722,46
48152,46
92011,46
68144,46
20876,46
54022,46
92835,46
27407,46
60661,46
43560,46
91387,46
98516,46
96813,46
55437,46
53717,46
48185,46
98664,46
48072,46
49507,46
75062,46
92253,46
30506,46
93726,46
1602,46
62301,46
93108,46
10306,46
1778,46
53188,46
93710,46
21222,46
21227,46
78412,46
23503,45
2129,45
87122,45
2864,45
92801,45
89521,45
84097,45
33442,45
44130,45
3055,45
33328,45
2860,45
14094,45
37203,45
80002,45
94531,45
14609,45
80124,45
33705,45
33703,45
40245,45
85603,45
83201,45
98001,45
92336,45
57103,45
18902,45
30327,45
30281,45
46526,45
19040,45
44514,45
29223,45
27284,45
30519,45
19805,45
22630,45
63501,45
22405,45
33609,45
54914,45
34243,45
22303,45
22305,45
45238,45
85042,45
93901,45
85286,45
89131,45
98387,45
85742,45
32164,45
58104,45
11570,45
6811,45
89148,45
21502,45
32137,45
21046,45
11756,45
5753,45
61920,45
54935,45
81007,45
